"Variável";"Localidade";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Percentual da População Atendida com Água (%)";"Abadiânia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Água Fria de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Águas Lindas de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Alexânia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Alto Paraíso de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Alvorada do Norte";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Barro Alto";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Cabeceiras";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Cavalcante";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Cidade Ocidental";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Cocalzinho de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Corumbá de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Cristalina";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Flores de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Formosa";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Goianésia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Luziânia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Mimoso de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Niquelândia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Novo Gama";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Padre Bernardo";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Pirenópolis";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Planaltina";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Santo Antônio do Descoberto";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"São João d’Aliança";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Simolândia";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Valparaíso de Goiás";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Vila Boa";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Vila Propício";"...";"...";"...";"...";"...";"...";"...";"...";"...";"...";"..."
"Percentual da População Atendida com Água (%)";"Abadia de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"98";"100";"100"
"Percentual da População Atendida com Água (%)";"Abadiânia";"[2]";"[2]";"[1]";"[1]";" [1] ";"[1]";"[1]";"[1]";"[1]";"[1]";"[1]"
"Percentual da População Atendida com Água (%)";"Acreúna";"88,80";"91,5";"93,9";"96,50";"95,8";"96,5";"96,6";"96,7";"97";"96,38";"96,46"
"Percentual da População Atendida com Água (%)";"Adelândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Água Fria de Goiás";"85,20";"85,3";"80,3";"80,70";"81,3";"81,2";"81,7";"81,8";"97";"81,54";"81,70"
"Percentual da População Atendida com Água (%)";"Água Limpa";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Águas Lindas de Goiás";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Alexânia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Aloândia";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
"Percentual da População Atendida com Água (%)";"Alto Horizonte";"100,00";"100,0";"100,0";"100,00";"100";"100";"100";"100";"97";"100";"100"
